date,year,symbol,grade,score,regime,spy_chg,entry,pnl_usd,pnl_pct,result,dna_cluster,patterns
2020-06-16,2020,AAPL,A+,110,STRONG,1.92,85.07,4.06,0.18,WIN,INSTITUTIONAL,ORB | HOD break | 1.3x vol | EMA uptrend | +2.7%
2020-06-23,2020,AAPL,A+,80,NORMAL,0.46,88.11,15.99,0.7,WIN,INSTITUTIONAL,VWAP reclaim | 1.5x vol | EMA uptrend | +2.1%
2020-07-31,2020,AAPL,A+,195,STRONG,0.79,99.62,75.45,3.28,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | RS +9.7% | 3.0x vol
2020-08-03,2020,AAPL,A+,110,STRONG,0.7,104.76,15.68,0.68,WIN,INSTITUTIONAL,ORB | 2.2x vol | EMA uptrend | +2.5% | Strong mkt
2020-08-06,2020,AAPL,A+,115,STRONG,0.67,106.9,63.36,3.17,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.3x vol | EMA uptrend | RSI 77 strong
2020-08-21,2020,AAPL,A+,145,NORMAL,0.35,115.68,85.65,4.28,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | RS +4.8% | 1.9x vol | EMA uptrend
2020-10-12,2020,AAPL,A+,185,STRONG,1.61,116.46,83.14,3.61,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | RS +4.7% | 1.6x vol
2020-11-30,2020,AAPL,A+,90,NORMAL,-0.44,113.65,35.56,1.78,WIN,INSTITUTIONAL,VWAP reclaim | 1.6x vol | Above EMA21 | RSI 58 | +2.1%
2020-12-15,2020,AAPL,A+,190,STRONG,1.35,120.81,65.48,2.85,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | RS +3.7% | 1.7x vol
2020-12-22,2020,AAPL,A+,110,NORMAL,-0.17,127.88,4.72,0.21,WIN,INSTITUTIONAL,ORB | RS +3.0% | 1.6x vol | EMA uptrend | +2.8%
2021-01-25,2021,AAPL,A+,80,NORMAL,0.39,139.01,-2.41,-0.1,LOSS,INSTITUTIONAL,ORB | 1.5x vol | EMA uptrend | +2.8% | ✓ INST: ORB+5 (gap sticks 75%)
2021-06-14,2021,AAPL,A+,110,NORMAL,0.22,124.59,41.62,2.08,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | EMA uptrend | RSI 62
2021-07-07,2021,AAPL,A+,95,NORMAL,0.35,139.92,16.5,0.72,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | EMA uptrend | +1.8%
2021-07-14,2021,AAPL,A+,140,NORMAL,0.15,144.36,16.31,0.71,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | 1.6x vol | EMA uptrend
2021-08-30,2021,AAPL,A+,90,NORMAL,0.44,145.46,55.3,2.76,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | Above EMA21 | +3.0%
2021-10-28,2021,AAPL,A+,105,STRONG,0.96,146.26,36.71,1.84,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | EMA uptrend | RSI 80 strong
2021-11-17,2021,AAPL,A+,110,NORMAL,-0.24,147.62,32.98,1.65,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | EMA uptrend | RSI 53
2021-11-18,2021,AAPL,A+,110,NORMAL,0.34,150.27,54.13,2.71,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 2.1x vol | EMA uptrend | +2.9%
2021-11-19,2021,AAPL,A+,130,NORMAL,-0.18,154.12,36.79,1.84,WIN,INSTITUTIONAL,VWAP reclaim | Bull flag | HOD break | 1.7x vol | EMA uptrend
2022-07-29,2022,AAPL,A+,150,STRONG,1.46,158.07,18.12,0.79,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | 1.4x vol | EMA uptrend
2022-10-28,2022,AAPL,A+,155,STRONG,2.38,145.49,116.01,5.04,WIN,INSTITUTIONAL,ORB | VWAP reclaim | RS +5.2% | 1.9x vol | Above EMA21
2023-02-02,2023,AAPL,A+,160,STRONG,1.46,146.42,29.66,1.29,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | 1.7x vol | EMA uptrend
2023-03-06,2023,AAPL,A+,100,NORMAL,0.07,151.45,0.6,0.03,WIN,INSTITUTIONAL,ORB | 1.4x vol | EMA uptrend | RSI 50 | +1.9%
2023-05-05,2023,AAPL,A+,165,STRONG,1.85,168.38,34.84,1.51,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | 2.1x vol | EMA uptrend
2023-06-30,2023,AAPL,A+,105,STRONG,1.18,188.98,28.09,1.22,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | EMA uptrend | RSI 80 strong
2023-11-02,2023,AAPL,A+,110,STRONG,1.92,173.33,23.36,1.17,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | Above EMA21 | RSI 47
2023-12-05,2023,AAPL,A+,80,NORMAL,-0.02,188.08,33.75,1.69,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | Above EMA21 | +2.1%
2023-12-13,2023,AAPL,A+,120,STRONG,1.38,192.91,29.42,1.47,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.5x vol | EMA uptrend | RSI 65
2024-01-19,2024,AAPL,A+,110,STRONG,1.25,187.21,23.56,1.18,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.3x vol | Above EMA21 | RSI 47
2024-05-02,2024,AAPL,A+,125,STRONG,0.94,170.8,6.93,0.3,WIN,INSTITUTIONAL,ORB | HOD break | 1.6x vol | EMA uptrend | +2.2%
2024-05-03,2024,AAPL,A+,135,STRONG,1.24,184.8,-40.29,-1.75,LOSS,INSTITUTIONAL,RS +4.7% | 2.7x vol | EMA uptrend | RSI 65 | +6.0%
2024-06-11,2024,AAPL,A+,140,NORMAL,0.24,191.99,139.43,6.97,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | RS +7.0% | 3.2x vol | Above EMA21
2024-06-12,2024,AAPL,A+,105,STRONG,0.82,205.59,57.13,2.86,WIN,INSTITUTIONAL,VWAP reclaim | 3.4x vol | EMA uptrend | RSI 77 strong | +2.9%
2024-06-17,2024,AAPL,A+,85,STRONG,0.8,211.54,30.93,1.55,WIN,INSTITUTIONAL,VWAP reclaim | 1.4x vol | EMA uptrend | +2.0% | Strong mkt
2024-09-19,2024,AAPL,A+,155,STRONG,1.71,223.32,39.66,1.72,WIN,INSTITUTIONAL,ORB | VWAP reclaim | HOD break | 1.5x vol | Above EMA21
2024-12-20,2024,AAPL,A+,115,STRONG,1.2,246.47,52.01,2.6,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 3.3x vol | Above EMA21 | RSI 76 strong
2025-06-30,2025,AAPL,A+,100,NORMAL,0.48,201.21,31.29,1.56,WIN,INSTITUTIONAL,VWAP reclaim | 1.7x vol | EMA uptrend | RSI 57 | +2.0%
2025-08-07,2025,AAPL,A+,210,NORMAL,-0.08,218.02,12.08,0.53,WIN,INSTITUTIONAL,ORB | VWAP reclaim | Bull flag | HOD break | RS +3.3%
2025-08-08,2025,AAPL,A+,150,STRONG,0.78,219.96,77.16,3.86,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | RS +3.5% | 2.0x vol | EMA uptrend
2025-09-19,2025,AAPL,A+,140,NORMAL,0.5,240.55,40.71,1.77,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 3.3x vol | EMA uptrend | RSI 64
2025-09-22,2025,AAPL,A+,130,NORMAL,0.47,247.6,72.07,3.13,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | RS +3.8% | 1.9x vol | EMA uptrend
2025-10-20,2025,AAPL,A+,140,STRONG,1.04,255.17,57.08,2.48,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.9x vol | EMA uptrend | RSI 60
2025-11-24,2025,AAPL,A+,120,STRONG,1.47,270.4,37.06,1.85,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.3x vol | EMA uptrend | RSI 60
2026-02-02,2026,AAPL,A+,130,NORMAL,0.5,259.55,76.76,3.84,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | RS +3.6% | 1.4x vol | Above EMA21
2026-02-04,2026,AAPL,A+,120,NORMAL,-0.48,271.79,35.48,1.54,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | RS +3.1% | 1.7x vol | EMA uptrend
2026-04-17,2026,AAPL,A+,100,STRONG,1.21,266.71,28.17,1.22,WIN,INSTITUTIONAL,VWAP reclaim | HOD break | 1.4x vol | EMA uptrend | +2.6%
2026-05-01,2026,AAPL,A+,100,NORMAL,0.28,278.6,10.56,0.46,WIN,INSTITUTIONAL,ORB | 1.8x vol | EMA uptrend | +3.2% | ✓ INST: ORB+5 (gap sticks 75%)
2020-11-05,2020,PLTR,A+,170,STRONG,1.95,10.9,160.89,7.0,WIN,MOMENTUM,ORB | VWAP reclaim | RS +8.9% | 2.5x vol | EMA uptrend
2020-11-06,2020,PLTR,A+,165,NORMAL,-0.02,12.22,209.01,9.09,WIN,MOMENTUM,ORB | VWAP reclaim | RS +16.4% | 4.4x vol | EMA uptrend
2020-11-09,2020,PLTR,A+,120,STRONG,1.26,14.96,0.0,0.0,PARTIAL_STOP,MOMENTUM,RS +4.8% | 2.5x vol | EMA uptrend | +6.1% | Strong mkt
2020-11-11,2020,PLTR,A+,185,STRONG,0.74,14.57,167.21,7.27,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +13.3% | 1.8x vol
2020-11-13,2020,PLTR,A+,145,STRONG,1.38,14.49,180.81,9.04,WIN,MOMENTUM,VWAP reclaim | RS +7.0% | 2.3x vol | EMA uptrend | RSI 75 strong
2020-11-23,2020,PLTR,A+,165,STRONG,0.6,18.63,206.27,8.97,WIN,MOMENTUM,ORB | VWAP reclaim | RS +15.3% | 1.6x vol | EMA uptrend
2020-11-24,2020,PLTR,A+,175,STRONG,1.61,22.35,0.0,0.0,PARTIAL_STOP,MOMENTUM,ORB | VWAP reclaim | RS +11.6% | 2.1x vol | EMA uptrend
2020-11-25,2020,PLTR,A+,135,NORMAL,-0.15,23.96,424.87,21.24,WIN,MOMENTUM,VWAP reclaim | RS +22.1% | 3.4x vol | EMA uptrend | +22.0%
2021-01-22,2021,PLTR,A+,135,NORMAL,-0.35,25.85,520.7,26.04,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +25.8% | 3.6x vol | RSI 80 strong
2021-01-25,2021,PLTR,A+,165,NORMAL,0.39,34.46,0.0,0.0,PARTIAL_STOP,MOMENTUM,ORB | VWAP reclaim | RS +10.8% | 4.0x vol | EMA uptrend
2021-08-12,2021,PLTR,A+,160,NORMAL,0.3,24.45,78.2,3.4,WIN,MOMENTUM,ORB | VWAP reclaim | RS +11.1% | 8.4x vol | EMA uptrend
2021-08-31,2021,PLTR,A+,125,NORMAL,-0.15,25.79,42.65,2.13,WIN,MOMENTUM,VWAP reclaim | Bull flag | HOD break | 1.9x vol | EMA uptrend
2021-09-16,2021,PLTR,A+,155,NORMAL,-0.16,27.2,105.15,5.26,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +5.9% | 2.3x vol | EMA uptrend
2021-11-08,2021,PLTR,A+,80,NORMAL,0.09,26.25,38.1,1.9,WIN,MOMENTUM,VWAP reclaim | 1.5x vol | EMA uptrend | +2.9%
2022-06-21,2022,PLTR,A+,135,STRONG,2.52,8.59,73.57,3.2,WIN,MOMENTUM,ORB | RS +3.2% | 1.3x vol | Above EMA21 | RSI 50
2022-06-24,2022,PLTR,A+,170,STRONG,3.18,9.53,138.51,6.93,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +4.5% | 1.8x vol | EMA uptrend
2022-07-05,2022,PLTR,A+,120,NORMAL,0.19,9.14,203.5,10.17,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +8.4% | 1.4x vol | Above EMA21
2023-01-31,2023,PLTR,A+,140,STRONG,1.47,7.41,99.87,4.99,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +4.1% | 1.4x vol | EMA uptrend
2023-02-01,2023,PLTR,A+,150,STRONG,1.06,7.73,121.6,6.08,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +4.3% | 1.7x vol | EMA uptrend
2023-02-02,2023,PLTR,A+,175,STRONG,1.46,8.51,122.36,5.32,WIN,MOMENTUM,ORB | VWAP reclaim | RS +8.2% | 2.3x vol | EMA uptrend
2023-02-14,2023,PLTR,A+,180,NORMAL,-0.05,8.59,141.84,6.17,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +21.2% | 5.3x vol
2023-02-15,2023,PLTR,A+,130,NORMAL,0.32,9.16,207.42,10.37,WIN,MOMENTUM,VWAP reclaim | RS +9.3% | 3.1x vol | EMA uptrend | +9.7%
2023-04-11,2023,PLTR,A+,90,NORMAL,0.03,8.35,62.28,3.11,WIN,MOMENTUM,VWAP reclaim | 1.3x vol | EMA uptrend | RSI 53 | +2.6%
2023-04-14,2023,PLTR,A+,100,NORMAL,-0.24,8.53,65.65,3.28,WIN,MOMENTUM,VWAP reclaim | 1.7x vol | EMA uptrend | RSI 62 | +2.7%
2023-05-09,2023,PLTR,A+,180,NORMAL,-0.44,9.22,0.0,0.0,PARTIAL_STOP,MOMENTUM,ORB | VWAP reclaim | RS +23.8% | 7.3x vol | EMA uptrend
2023-05-10,2023,PLTR,A+,150,NORMAL,0.47,9.73,82.32,3.58,WIN,MOMENTUM,ORB | VWAP reclaim | RS +3.6% | 3.7x vol | EMA uptrend
2023-05-18,2023,PLTR,A+,195,STRONG,0.96,10.46,198.23,8.62,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +13.6% | 3.2x vol
2023-05-25,2023,PLTR,A+,90,STRONG,0.87,13.18,-115.0,-5.0,STOP,MOMENTUM,RS +4.1% | 1.3x vol | EMA uptrend | +5.0% | Strong mkt
2023-05-26,2023,PLTR,A+,125,STRONG,1.3,12.84,126.17,6.31,WIN,MOMENTUM,VWAP reclaim | RS +5.0% | 1.5x vol | EMA uptrend | +6.3%
2023-05-30,2023,PLTR,A+,155,NORMAL,0.04,14.44,43.01,1.87,WIN,MOMENTUM,ORB | VWAP reclaim | RS +7.7% | 1.8x vol | EMA uptrend
2023-07-18,2023,PLTR,A+,140,STRONG,0.74,17.88,25.73,1.12,WIN,MOMENTUM,ORB | HOD break | RS +3.2% | 1.4x vol | EMA uptrend
2023-07-28,2023,PLTR,A+,200,STRONG,0.98,17.21,80.19,3.49,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +9.3% | 2.0x vol
2023-07-31,2023,PLTR,A+,180,NORMAL,0.19,18.82,119.83,5.21,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +11.2% | 2.5x vol
2023-09-28,2023,PLTR,A+,160,STRONG,0.58,15.14,105.35,4.58,WIN,MOMENTUM,ORB | VWAP reclaim | RS +5.6% | 1.4x vol | Above EMA21
2023-10-06,2023,PLTR,A+,150,STRONG,1.19,15.56,134.96,6.75,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +3.9% | 1.4x vol | Above EMA21
2023-10-09,2023,PLTR,A+,140,STRONG,0.64,16.25,167.38,8.37,WIN,MOMENTUM,VWAP reclaim | RS +5.4% | 2.1x vol | EMA uptrend | +6.0%
2023-11-02,2023,PLTR,A+,180,STRONG,1.92,17.48,64.47,2.8,WIN,MOMENTUM,ORB | VWAP reclaim | RS +18.5% | 3.1x vol | Above EMA21
2023-11-03,2023,PLTR,A+,170,STRONG,0.91,18.02,96.56,4.83,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +4.2% | 1.8x vol | EMA uptrend
2023-11-10,2023,PLTR,A+,140,STRONG,1.56,18.16,166.9,8.34,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +6.1% | 1.6x vol | Above EMA21
2023-11-20,2023,PLTR,A+,115,STRONG,0.77,20.65,66.83,3.34,WIN,MOMENTUM,VWAP reclaim | RS +3.4% | 1.4x vol | EMA uptrend | +4.1%
2024-01-22,2024,PLTR,A+,135,NORMAL,0.21,17.46,66.72,2.9,WIN,MOMENTUM,ORB | RS +4.7% | 2.2x vol | Above EMA21 | RSI 55
2024-02-06,2024,PLTR,A+,165,NORMAL,0.29,20.3,146.44,6.37,WIN,MOMENTUM,ORB | VWAP reclaim | RS +30.5% | 8.8x vol | EMA uptrend
2024-02-07,2024,PLTR,A+,145,STRONG,0.83,21.6,185.19,9.26,WIN,MOMENTUM,VWAP reclaim | RS +7.1% | 3.8x vol | EMA uptrend | RSI 79 strong
2024-02-08,2024,PLTR,A+,155,NORMAL,0.04,23.96,52.8,2.3,WIN,MOMENTUM,ORB | VWAP reclaim | RS +3.8% | 2.7x vol | EMA uptrend
2024-03-06,2024,PLTR,A+,180,STRONG,0.51,25.75,36.62,1.59,WIN,MOMENTUM,ORB | VWAP reclaim | RS +9.4% | 1.9x vol | EMA uptrend
2024-05-06,2024,PLTR,A+,190,STRONG,1.03,24.37,79.28,3.45,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +7.0% | 5.3x vol
2024-06-06,2024,PLTR,A+,130,NORMAL,-0.0,22.98,70.5,3.52,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +3.6% | 1.5x vol | EMA uptrend
2024-06-17,2024,PLTR,A+,145,STRONG,0.8,23.47,132.08,6.6,WIN,MOMENTUM,VWAP reclaim | HOD break | RS +5.4% | 1.6x vol | Above EMA21
2024-06-18,2024,PLTR,A+,115,NORMAL,0.25,25.15,53.28,2.66,WIN,MOMENTUM,VWAP reclaim | HOD break | 1.5x vol | EMA uptrend | RSI 80 strong
2024-08-09,2024,PLTR,A+,100,NORMAL,0.44,29.28,49.86,2.49,WIN,MOMENTUM,VWAP reclaim | 1.7x vol | EMA uptrend | RSI 56 | +2.5%
2024-09-09,2024,PLTR,A+,210,STRONG,1.12,32.7,124.32,5.41,WIN,MOMENTUM,ORB | VWAP reclaim | HOD break | RS +13.0% | 3.1x vol
2024-09-16,2024,PLTR,A+,85,NORMAL,0.15,35.78,29.63,1.48,WIN,MOMENTUM,VWAP reclaim | 1.5x vol | EMA uptrend | RSI 80 strong | +2.0%
