symbol,gap_fill_rate,gap_go_rate,trend_1d,trend_3d,reversal_tendency,vol_move_corr,up_vol_ratio,avg_atr_pct,avg_range_pct,return_skew,vol_clustering,intraday_revert_rate,val_gap_fill,val_gap_go,val_trend_1d,drift,fvg_density,fvg_fill_rate,orb_breakout_rate,orb_hold_1h,vwap_reclaim_rate,morning_continuation,catalyst_wr,catalyst_avg,data_years,cluster,cluster_raw,cluster_dist,bt_n,bt_wr,bt_ev,bt_ann,bt_total,bt_prof_yr,bt_n_yr,bt_avg_w,bt_avg_l,passed
CAR,0.59375,0.6766304347826086,0.5506607929515418,0.5682819383259912,0.49254080759481406,0.34326041297030163,1.140289835196691,6.687322048673856,6.25930868424274,5.405812054468477,0.24211547387088297,0.5168986083499006,0.6526946107784432,0.6586826347305389,0.6233766233766234,0.03844620541525645,26.30365888792855,0.683461117196057,0.5370741482965932,0.5232067510548524,0.6452905811623246,0.0,0.5705882352941176,1.8771219160052073,6.0,HIGH_VOL,0,5.177,67,92.53731343283582,123.44970149253734,1378.5216666666668,8271.130000000001,6,6,136.87306451612906,-43.0,True
TGTX,0.6964285714285714,0.6577380952380952,0.5019762845849802,0.4901185770750988,0.5139942322759172,0.5694835252770276,1.1827507276869096,7.639648764561407,7.16666104027459,0.7962046922896554,0.15348125590415185,0.5079522862823062,0.725925925925926,0.6555555555555556,0.4788732394366197,0.015839947089947126,23.97003745318352,0.6814903846153846,0.5410821643286573,0.5,0.5891783567134269,0.0,0.556390977443609,2.176708746146057,6.0,HIGH_VOL,0,3.38,61,88.52459016393442,117.24983606557377,1192.04,7152.24,6,6,138.74685185185186,-48.58428571428572,True
CVNA,0.6787096774193548,0.6593548387096774,0.5375494071146245,0.48221343873517786,0.44987210508123054,0.4849572660916968,1.2676974363772926,9.878939796738996,9.033879522238264,1.1010607609988388,0.2832572868591623,0.5188866799204771,0.6197183098591549,0.6845070422535211,0.53,0.042071785552021845,26.801152737752158,0.6978494623655914,0.533066132264529,0.510548523206751,0.5731462925851704,0.0,0.563953488372093,3.937413098018862,6.0,HIGH_VOL,0,3.202,69,92.7536231884058,117.01739130434784,1345.7,8074.200000000001,6,6,129.90765625,-47.978,True
VSAT,0.5844594594594594,0.706081081081081,0.5414012738853503,0.5414012738853503,0.4582067817765758,0.3445076637877789,1.0331989428445607,4.843931926026525,4.439810012518939,0.08125464002640631,0.13193072376538556,0.4821073558648111,0.6714285714285714,0.6485714285714286,0.4230769230769231,0.0722393822393822,26.361279170267935,0.6939890710382514,0.5070140280561122,0.46956521739130436,0.5731462925851704,0.0,0.5578231292517006,1.232030700338854,6.0,INSTITUTIONAL,2,3.408,47,95.74468085106383,111.27446808510638,871.65,5229.9,6,6,116.25066666666666,-0.69,True
CENX,0.5932415519399249,0.7021276595744681,0.4763779527559055,0.4763779527559055,0.5211440329218107,0.36081339811377683,1.0234729835337537,7.005867155727924,6.407152078862411,0.09356811075311888,0.10420844767225296,0.46421471172962225,0.5916230366492147,0.6727748691099477,0.5283018867924528,0.01548565287761533,27.571305099394987,0.6739811912225705,0.48296593186372744,0.48878923766816146,0.593186372745491,0.0,0.5816326530612245,1.271682691121514,6.0,MOMENTUM,1,3.209,80,96.25,107.75974999999998,1436.7966666666669,8620.78,6,6,112.50272727272726,-13.976666666666667,True
CYTK,0.7441077441077442,0.6430976430976431,0.5051020408163265,0.5204081632653061,0.520884520884521,0.37564316948252996,1.1989726244346832,5.801585191948103,5.629251789583298,4.559939249642252,0.025922280035424565,0.4860834990059642,0.706766917293233,0.6390977443609023,0.53125,0.02067036277562595,24.099164024214474,0.7284688995215312,0.5050100200400801,0.4660633484162896,0.6212424849699398,0.0,0.5594405594405595,1.481523353643289,6.0,HIGH_VOL,0,4.551,57,92.98245614035088,94.11105263157897,894.055,5364.33,6,6,107.76811320754719,-86.845,True
CDE,0.5891276864728192,0.7041719342604298,0.4557522123893805,0.4646017699115044,0.5540824915824916,0.3737635881296802,1.0787330557759276,6.636085804329881,6.0979543569778505,0.5245758643891844,0.09848838838720614,0.4592445328031809,0.5707317073170731,0.697560975609756,0.4336283185840708,0.012503468903209913,27.636887608069163,0.6673618352450469,0.4589178356713427,0.4218009478672986,0.5751503006012024,0.0,0.5806451612903226,1.646259960109223,6.0,MOMENTUM,1,4.009,37,89.1891891891892,92.16216216216216,568.3333333333334,3410.0,4,6,110.3978787878788,-58.2825,True
LQDA,0.7892074198988196,0.6003372681281619,0.49107142857142855,0.5223214285714286,0.4766833270463976,0.45555647423806517,1.2132407833109538,7.817501130301573,7.596723224850796,0.6032209748386909,0.21668879797944182,0.5188866799204771,0.75,0.63671875,0.5555555555555556,0.037794450885328845,23.50907519446845,0.7009803921568627,0.5551102204408818,0.46808510638297873,0.6513026052104208,0.0,0.608,1.24535995870408,6.0,HIGH_VOL,0,4.616,55,87.27272727272727,89.49799999999999,820.3983333333334,4922.39,5,6,113.75604166666666,-76.84285714285714,True
PI,0.6274509803921569,0.7086834733893558,0.5240384615384616,0.5721153846153846,0.5147093592731449,0.425233891488956,0.9370574725696893,5.8020425346739595,5.355107820548354,-0.07055099013036689,0.007100125399534367,0.48111332007952284,0.6226993865030674,0.6932515337423313,0.4939759036144578,0.010091766768056953,28.032267358110055,0.6752312435765673,0.503006012024048,0.5217391304347826,0.6132264529058116,0.0,0.5584415584415584,0.8510108654353291,6.0,MOMENTUM,1,3.647,67,92.53731343283582,89.4,998.3000000000002,5989.800000000001,6,6,102.22725806451614,-69.65799999999999,True
TPL,0.5583596214511041,0.7066246056782335,0.4413793103448276,0.5172413793103449,0.4903620433129443,0.3606265318089621,0.9985696787109575,4.350493829599114,4.043220370148206,0.09087536745108991,0.2772230809906269,0.5019880715705766,0.5857142857142857,0.6535714285714286,0.6170212765957447,0.04020392068499329,34.01556644566158,0.7067796610169491,0.5490981963927856,0.562753036437247,0.6472945891783567,0.0,0.5163398692810458,0.4633807414227714,6.0,INSTITUTIONAL,2,5.737,64,98.4375,88.19015624999997,940.695,5644.17,6,6,89.66555555555553,-4.76,True
