date,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2024-01-03,SHORT,-0.74,0,1.17,7.17,0,18.46,-0.0329,0,-277.2,0,0,1,30.3,22.5,218.3,4,0,-132.9,1,0.1
2024-01-03,SHORT,-93.24,0,1.573,9.76,0,17.44,-0.109,0,-290.0,0,0,1,30.7,9.8,231.1,3,0,-145.7,1,0.04
2024-01-04,SHORT,-53.24,0,2.841,2.81,0,41.96,-0.079,0,-100.2,0,0,1,17.3,44.8,127.3,4,0,-79.8,0,0.35
2024-01-04,SHORT,172.76,1,3.81,2.25,0,42.99,-0.1088,0,-94.2,0,0,1,14.5,3.2,121.3,4,0,-73.8,1,0.03
2024-01-05,LONG,-90.24,0,3.699,1.7,0,68.69,-0.101,1,92.8,1,1,1,29.7,1.7,106.0,4,1,52.2,0,0.02
2024-01-05,LONG,34.26,1,2.5,7.58,0,57.44,-0.0834,1,33.0,1,1,1,20.0,61.4,46.3,1,0,-7.6,0,1.33
2024-01-08,LONG,41.76,1,7.657,24.58,0,79.9,0.156,1,161.2,1,1,1,20.7,24.6,257.9,2,1,196.1,0,0.1
2024-01-08,LONG,154.76,1,15.212,14.92,0,86.72,0.1898,1,200.8,1,1,1,13.0,999.0,297.4,1,1,235.6,0,
2024-01-12,LONG,-111.74,0,0.848,49.86,0,52.7,-0.0253,1,90.0,1,1,1,36.8,49.9,171.7,0,1,60.9,0,0.29
2024-01-12,LONG,-18.74,0,2.271,52.42,0,53.14,-0.0321,1,81.5,1,1,1,17.5,58.4,163.2,0,1,52.4,0,0.36
2024-01-17,SHORT,-97.74,0,2.37,11.0,0,26.0,-0.0209,0,-173.8,0,0,1,32.2,84.2,258.4,1,0,-190.0,0,0.33
2024-01-17,SHORT,7.26,1,0.895,27.88,0,35.74,-0.0114,0,-122.2,0,0,1,27.7,40.5,206.9,1,0,-138.5,0,0.2
2024-01-18,LONG,-0.74,0,1.395,18.42,0,85.42,-0.0753,1,239.0,1,1,1,30.8,999.0,320.9,1,1,261.8,0,
2024-01-18,LONG,-0.74,0,1.718,26.67,0,85.4,-0.0231,1,247.2,1,1,1,29.8,999.0,329.1,1,1,270.1,0,
