date,trade_idx,side,entry_time,pnl,win,ovn_pos,daily_bias,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2025-01-02,0,LONG,10:50,-213.24,0,0.614,BOTH,0.453,17.25,0,52.42,0.3781,0,-144.5,0,0,0,70.7,99.8,134.8,1,1,17.2,0,0.74
2025-01-02,1,LONG,11:30,-0.74,0,0.614,BOTH,0.811,2.5,0,47.17,0.3564,0,-164.2,0,0,0,63.8,119.5,115.1,1,0,-2.5,0,1.04
2025-01-03,0,LONG,10:30,-0.74,0,0.942,LONG,0.914,19.42,0,68.03,0.2978,1,130.5,1,1,1,66.5,19.4,332.6,1,1,156.6,0,0.06
2025-01-03,1,LONG,10:45,-0.74,0,0.942,LONG,1.364,2.58,0,72.44,0.2823,1,152.5,1,1,1,60.7,36.1,354.6,2,1,178.6,0,0.1
2025-01-06,0,LONG,10:35,-0.74,0,0.901,LONG,2.814,81.33,0,99.51,0.0791,1,464.0,1,1,1,43.0,81.3,515.7,0,1,405.1,0,0.16
2025-01-06,1,LONG,11:50,-68.24,0,0.901,LONG,5.888,70.83,0,98.1,0.0633,1,474.5,1,1,1,22.3,70.8,526.2,0,1,415.6,0,0.13
2025-01-08,0,LONG,10:35,-0.74,0,0.593,BOTH,0.431,13.84,1,40.04,-0.0996,0,-330.0,0,0,0,70.2,338.1,39.1,2,0,-185.2,0,8.65
2025-01-08,1,LONG,11:10,-0.74,0,0.593,BOTH,0.377,3.84,1,42.13,-0.1032,0,-320.0,0,0,0,53.7,328.1,49.1,1,0,-175.2,0,6.68
2025-01-10,0,LONG,10:30,165.26,1,0.431,BOTH,2.353,5.17,0,27.97,-0.1839,0,-304.2,0,0,0,69.5,372.1,125.9,1,0,-270.7,0,2.96
2025-01-10,1,SHORT,11:05,-0.74,0,0.431,BOTH,3.636,54.92,0,20.72,-0.1863,0,-375.2,0,0,1,64.5,54.9,443.1,0,0,-341.7,0,0.12
2025-01-15,0,LONG,10:30,-137.24,0,0.817,BOTH,2.824,3.67,0,92.56,-0.0256,1,419.2,1,1,1,45.3,999.0,619.3,1,1,483.3,0,
2025-01-15,1,LONG,13:00,147.26,1,0.817,BOTH,4.105,23.08,0,86.9,-0.0574,1,392.5,1,1,1,24.7,23.1,592.6,1,1,456.6,0,0.04
2025-01-16,0,LONG,10:55,-0.74,0,0.665,BOTH,1.41,25.61,0,52.02,-0.2383,1,194.8,0,1,0,49.8,25.6,155.5,1,1,70.8,0,0.16
2025-01-16,1,LONG,11:25,-132.74,0,0.665,BOTH,2.008,43.36,0,50.71,-0.1549,1,177.0,0,1,0,43.8,43.4,137.8,0,1,53.0,0,0.31
2025-01-17,0,LONG,10:30,154.76,1,0.935,LONG,1.681,27.39,0,82.0,-0.0774,1,97.5,1,1,1,58.0,62.7,263.1,1,1,173.1,0,0.24
2025-01-17,1,LONG,11:40,-85.74,0,0.935,LONG,1.589,9.92,0,85.29,-0.1372,1,150.2,1,1,1,28.2,9.9,315.9,1,1,225.8,0,0.03
2025-01-21,0,LONG,10:40,44.26,1,0.831,BOTH,1.323,23.4,0,56.73,-0.5006,1,35.0,0,0,0,56.5,23.4,122.9,1,1,49.8,0,0.19
2025-01-22,0,LONG,10:45,-87.74,0,0.909,LONG,4.197,34.25,0,85.78,0.1382,1,426.8,1,1,1,28.8,34.2,455.2,1,1,361.0,0,0.08
2025-01-22,1,LONG,11:05,94.76,1,0.909,LONG,4.151,45.25,0,80.78,0.1926,1,415.8,1,1,1,26.5,45.2,444.2,0,1,350.0,0,0.1
2025-01-24,0,LONG,11:40,-58.74,0,0.832,BOTH,0.835,15.42,0,46.53,-0.02,1,108.2,1,1,1,19.2,29.4,133.7,4,1,88.8,0,0.22
2025-01-29,0,SHORT,11:10,-0.74,0,0.414,BOTH,2.653,34.83,0,37.63,-0.1278,1,218.2,0,0,1,38.2,197.2,142.9,1,1,34.8,0,1.38
2025-01-29,1,SHORT,13:05,-0.74,0,0.414,BOTH,4.167,4.92,0,30.37,-0.354,1,178.5,0,0,1,33.8,157.4,182.6,1,0,-4.9,0,0.86
2025-01-30,0,LONG,11:50,-133.24,0,0.812,BOTH,1.08,12.04,0,45.57,-0.0315,1,160.0,0,1,0,44.0,12.0,198.1,3,1,107.1,0,0.06
2025-01-30,1,LONG,13:30,165.26,1,0.812,BOTH,2.657,9.93,0,43.78,-0.0557,1,134.0,0,0,0,27.7,9.9,172.1,2,1,81.1,0,0.06
2025-01-31,0,LONG,10:40,-0.74,0,0.828,BOTH,3.573,36.67,0,69.6,-0.1475,1,287.8,1,1,1,37.5,36.7,419.0,1,1,293.1,0,0.09
2025-01-31,1,LONG,11:40,20.26,1,0.828,BOTH,4.537,49.67,0,70.51,-0.1251,1,274.8,1,1,1,26.7,49.7,406.0,0,1,280.1,0,0.12
2025-02-03,0,LONG,10:30,-0.74,0,0.422,BOTH,1.979,58.25,0,75.53,0.0284,0,-520.5,1,0,0,77.8,468.0,82.5,0,0,-327.2,0,5.67
2025-02-03,1,LONG,10:45,-0.74,0,0.422,BOTH,2.466,17.0,0,77.16,-0.0134,0,-479.2,1,0,0,79.2,426.8,123.8,2,0,-286.0,0,3.45
2025-02-04,0,LONG,10:50,-0.74,0,0.504,BOTH,6.04,30.33,0,62.34,0.1024,1,433.8,1,1,1,37.8,123.1,437.1,2,1,283.7,0,0.28
2025-02-04,1,LONG,11:50,-82.74,0,0.504,BOTH,8.567,34.58,0,67.53,0.0123,1,438.0,1,1,1,27.2,118.8,441.3,2,1,287.9,0,0.27
2025-02-05,0,LONG,10:30,-0.74,0,0.46,BOTH,0.635,5.67,0,51.35,-0.3237,0,-59.8,1,1,1,44.5,116.4,104.7,1,0,-5.7,0,1.11
2025-02-05,1,LONG,11:20,200.76,1,0.46,BOTH,0.913,3.17,0,52.56,-0.2745,0,-57.2,1,1,1,33.7,113.9,107.2,1,0,-3.2,0,1.06
2025-02-06,0,LONG,10:30,-0.74,0,0.557,BOTH,0.82,1.06,0,56.42,0.0436,1,269.5,1,1,1,32.3,2.2,238.8,3,1,150.0,0,0.01
2025-02-06,1,LONG,11:05,-2.24,0,0.557,BOTH,0.35,12.94,0,51.51,-0.1312,1,255.5,1,1,1,35.7,12.9,224.8,3,1,136.0,1,0.06
2025-02-10,0,LONG,10:30,-94.74,0,0.928,LONG,3.361,14.86,0,87.55,-0.0238,1,50.2,1,1,1,31.2,33.4,327.1,3,1,171.0,0,0.1
