date,entry_time,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2025-01-02,10:50,LONG,-213.24,0,0.453,17.25,0,52.42,0.3781,0,-144.5,0,0,0,70.7
2025-01-02,11:30,LONG,-0.74,0,0.811,2.5,0,47.17,0.3564,0,-164.2,0,0,0,63.8
2025-01-03,10:30,LONG,-0.74,0,0.914,19.42,0,68.03,0.2978,1,130.5,1,1,1,66.5
2025-01-03,10:45,LONG,-0.74,0,1.364,2.58,0,72.44,0.2823,1,152.5,1,1,1,60.7
2025-01-06,10:35,LONG,-0.74,0,2.814,81.33,0,99.51,0.0791,1,464.0,1,1,1,43.0
2025-01-06,11:50,LONG,-68.24,0,5.888,70.83,0,98.1,0.0633,1,474.5,1,1,1,22.3
2025-01-08,10:35,LONG,-0.74,0,0.431,13.84,1,40.04,-0.0996,0,-330.0,0,0,0,70.2
2025-01-08,11:10,LONG,-0.74,0,0.377,3.84,1,42.13,-0.1032,0,-320.0,0,0,0,53.7
2025-01-10,10:30,LONG,165.26,1,2.353,5.17,0,27.97,-0.1839,0,-304.2,0,0,0,69.5
2025-01-10,11:05,SHORT,-0.74,0,3.636,54.92,0,20.72,-0.1863,0,-375.2,0,0,1,64.5
2025-01-15,10:30,LONG,-137.24,0,2.824,3.67,0,92.56,-0.0256,1,419.2,1,1,1,45.3
2025-01-15,13:00,LONG,147.26,1,4.105,23.08,0,86.9,-0.0574,1,392.5,1,1,1,24.7
2025-01-16,10:55,LONG,-0.74,0,1.41,25.61,0,52.02,-0.2383,1,194.8,0,1,0,49.8
2025-01-16,11:25,LONG,-132.74,0,2.008,43.36,0,50.71,-0.1549,1,177.0,0,1,0,43.8
2025-01-17,10:30,LONG,154.76,1,1.681,27.39,0,82.0,-0.0774,1,97.5,1,1,1,58.0
2025-01-17,11:40,LONG,-85.74,0,1.589,9.92,0,85.29,-0.1372,1,150.2,1,1,1,28.2
2025-01-21,10:40,LONG,44.26,1,1.323,23.4,0,56.73,-0.5006,1,35.0,0,0,0,56.5
