date,entry_time,side,setup,grade,daily_bias,ovn_pos,exit_reason,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2026-01-05,10:30,LONG,PM_LONG,A+,LONG,0.986,stop,-153.24,0,0.804,18.86,0,84.64,-0.2034,1,256.8,1,1,1,50.7
2026-01-06,10:35,LONG,PM_LONG,A+,BOTH,0.739,stop,-114.24,0,2.808,21.58,0,67.02,0.2944,1,114.2,1,1,1,37.7
2026-01-06,11:00,LONG,PM_LONG,A+,BOTH,0.739,vwap_cross,22.76,1,0.852,18.17,0,53.99,0.3772,1,34.5,1,1,1,30.5
2026-01-07,10:30,LONG,PM_LONG,A+,BOTH,0.539,stop,-106.74,0,2.616,2.92,0,64.84,0.0869,1,229.0,1,1,1,35.2
2026-01-07,10:40,LONG,PM_LONG,A+,BOTH,0.539,stop,109.76,1,1.634,1.17,0,59.55,-0.0128,1,201.0,1,1,1,39.2
2026-01-08,10:30,LONG,MOM_LONG,A,BOTH,0.643,stop,-0.74,0,2.245,13.58,0,33.51,0.0928,0,-130.8,0,0,0,53.7
2026-01-08,10:55,LONG,VWAP_LONG,A,BOTH,0.643,stop,-143.74,0,2.137,32.58,0,35.86,-0.0074,0,-111.8,0,0,0,47.5
2026-01-09,10:30,LONG,PM_LONG,A+,BOTH,0.442,stop,-0.74,0,2.167,44.17,0,75.65,-0.0777,1,207.8,1,1,1,69.3
2026-01-09,11:30,LONG,PM_LONG,A+,BOTH,0.442,stop,88.26,1,3.517,35.93,0,72.93,0.034,1,198.8,1,1,1,40.2
2026-01-13,11:15,LONG,VWAP_LONG,A+,BOTH,0.521,stop,-113.74,0,0.953,7.75,0,56.35,-0.071,1,112.5,1,1,1,37.5
2026-01-14,10:30,SHORT,PM_SHORT,A+,SHORT,0.173,stop,205.26,1,2.196,66.25,0,18.54,0.0658,0,-262.2,0,0,1,66.8
2026-01-14,10:55,SHORT,PM_SHORT,A+,SHORT,0.173,stop,-173.24,0,4.33,21.25,0,14.21,0.0754,0,-363.8,0,0,1,57.3
2026-01-15,10:30,LONG,VWAP_LONG,A+,LONG,0.93,stop,-156.24,0,0.368,52.67,0,79.98,-0.2967,1,177.8,1,1,1,51.7
2026-01-15,10:55,LONG,VWAP_LONG,A+,LONG,0.93,stop,-0.74,0,0.815,66.67,0,78.97,-0.0885,1,155.8,1,1,1,50.3
2026-01-16,11:35,LONG,VWAP_LONG,A,LONG,0.947,stop,-94.24,0,4.565,0.03,0,40.23,-0.1127,0,-149.8,0,0,0,31.0
2026-01-16,13:20,LONG,VWAP_LONG,A,LONG,0.947,stop,-66.24,0,6.623,1.97,1,39.28,-0.0721,0,-151.8,0,0,0,21.7
