date,side,pnl,win,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2025-01-02,LONG,-213.24,0,99.8,134.8,1,1,17.2,0,0.74
2025-01-02,LONG,-0.74,0,119.5,115.1,1,0,-2.5,0,1.04
2025-01-03,LONG,-0.74,0,19.4,332.6,1,1,156.6,0,0.06
2025-01-03,LONG,-0.74,0,36.1,354.6,2,1,178.6,0,0.1
2025-01-06,LONG,-0.74,0,81.3,515.7,0,1,405.1,0,0.16
2025-01-06,LONG,-68.24,0,70.8,526.2,0,1,415.6,0,0.13
2025-01-08,LONG,-0.74,0,338.1,39.1,2,0,-185.2,0,8.65
2025-01-08,LONG,-0.74,0,328.1,49.1,1,0,-175.2,0,6.68
2025-01-10,LONG,165.26,1,372.1,125.9,1,0,-270.7,0,2.96
2025-01-10,SHORT,-0.74,0,54.9,443.1,0,0,-341.7,0,0.12
2025-01-15,LONG,-137.24,0,999.0,619.3,1,1,483.3,0,
2025-01-15,LONG,147.26,1,23.1,592.6,1,1,456.6,0,0.04
2025-01-16,LONG,-0.74,0,25.6,155.5,1,1,70.8,0,0.16
2025-01-16,LONG,-132.74,0,43.4,137.8,0,1,53.0,0,0.31
2025-01-17,LONG,154.76,1,62.7,263.1,1,1,173.1,0,0.24
2025-01-17,LONG,-85.74,0,9.9,315.9,1,1,225.8,0,0.03
2025-01-21,LONG,44.26,1,23.4,122.9,1,1,49.8,0,0.19
2025-01-22,LONG,-87.74,0,34.2,455.2,1,1,361.0,0,0.08
2025-01-22,LONG,94.76,1,45.2,444.2,0,1,350.0,0,0.1
2025-01-24,LONG,-58.74,0,29.4,133.7,4,1,88.8,0,0.22
2025-01-29,SHORT,-0.74,0,197.2,142.9,1,1,34.8,0,1.38
2025-01-29,SHORT,-0.74,0,157.4,182.6,1,0,-4.9,0,0.86
2025-01-30,LONG,-133.24,0,12.0,198.1,3,1,107.1,0,0.06
2025-01-30,LONG,165.26,1,9.9,172.1,2,1,81.1,0,0.06
2025-01-31,LONG,-0.74,0,36.7,419.0,1,1,293.1,0,0.09
2025-01-31,LONG,20.26,1,49.7,406.0,0,1,280.1,0,0.12
2025-02-03,LONG,-0.74,0,468.0,82.5,0,0,-327.2,0,5.67
2025-02-03,LONG,-0.74,0,426.8,123.8,2,0,-286.0,0,3.45
2025-02-04,LONG,-0.74,0,123.1,437.1,2,1,283.7,0,0.28
2025-02-04,LONG,-82.74,0,118.8,441.3,2,1,287.9,0,0.27
2025-02-05,LONG,-0.74,0,116.4,104.7,1,0,-5.7,0,1.11
2025-02-05,LONG,200.76,1,113.9,107.2,1,0,-3.2,0,1.06
2025-02-06,LONG,-0.74,0,2.2,238.8,3,1,150.0,0,0.01
2025-02-06,LONG,-2.24,0,12.9,224.8,3,1,136.0,1,0.06
2025-02-10,LONG,-94.74,0,33.4,327.1,3,1,171.0,0,0.1
2025-02-10,LONG,8.76,1,34.9,325.6,3,1,169.5,0,0.11
2025-02-12,SHORT,-118.24,0,36.4,199.9,2,0,-134.6,0,0.18
2025-02-13,LONG,92.26,1,43.5,367.2,0,1,259.8,0,0.12
2025-02-13,LONG,-116.74,0,194.5,412.0,1,1,304.5,0,0.47
2025-02-18,LONG,-15.24,0,8.6,82.1,5,1,36.8,0,0.1
2025-02-20,SHORT,125.26,1,13.2,238.0,1,0,-168.6,0,0.06
2025-02-20,SHORT,-100.24,0,57.3,266.0,1,0,-196.6,0,0.22
2025-02-21,SHORT,121.76,1,11.5,228.5,3,0,-123.0,0,0.05
2025-02-24,SHORT,-0.74,0,150.8,553.0,1,0,-370.5,0,0.27
2025-02-24,LONG,-0.74,0,438.5,4.6,1,0,-256.0,0,95.33
2025-02-25,SHORT,121.76,1,43.2,665.2,0,0,-525.8,0,0.06
