date,health,n_days,n_rows,status,n_signals_today,binary_captured,graded_captured,raw_sum_today
2026-05-27,,0,0,COLD_START,20,-24.029364587335387,-24.029364587335387,-24.029364587335387
2026-05-28,,1,0,COLD_START,35,-1.4335912055288356,-1.4335912055288356,-1.4335912055288356
2026-06-01,,2,0,COLD_START,66,-36.29935994189014,-36.29935994189014,-36.29935994189014
2026-06-04,,3,0,COLD_START,10,0.19478356367327754,0.19478356367327754,0.19478356367327754
2026-06-08,-0.4699811616113059,4,131,OFF,16,0.0,0.0,0.20053764820021547
2026-06-09,-0.41746254777469965,5,147,OFF,9,-0.0,-0.0,-38.81681314768582
2026-06-11,-0.6422038953241452,6,156,OFF,29,0.0,0.0,101.96655020360092
2026-06-12,0.00963644612450947,7,185,UMBRELLA,46,-88.14655112612353,-44.07327556306176,-88.14655112612353
2026-06-15,-0.3738693012687848,8,231,OFF,58,0.0,0.0,25.19503812812485
2026-06-18,-0.21165664520748942,9,289,UMBRELLA,27,-0.0,-17.092147813391165,-34.18429562678233
2026-06-22,-0.30175020915109735,10,316,OFF,31,-0.0,-0.0,-148.34838423538397
2026-06-24,-0.6717800787149706,10,327,OFF,28,-0.0,-0.0,-34.9978828984342
2026-06-29,-0.7913636794771899,10,320,OFF,26,0.0,0.0,46.167302906072536
2026-06-30,-0.609891837802636,10,280,OFF,20,-0.0,-0.0,-5.074227408637393
2026-07-01,-0.6070300881277543,10,290,OFF,214,-0.0,-0.0,-69.66241406119072
2026-07-02,-0.5038968796443436,10,488,OFF,25,-0.0,-0.0,-85.44637562230332
2026-07-06,-0.5804191264703515,10,504,OFF,41,-0.0,-0.0,-21.092045641743102
2026-07-09,-0.8054066581131805,10,516,OFF,20,-0.0,-0.0,-36.886200651125314
2026-07-10,-0.743529561451843,10,490,OFF,13,0.0,0.0,3.9221915635087377
2026-07-14,-0.8665220936539757,10,445,OFF,8,-0.0,-0.0,-18.728092124287336
2026-07-15,-0.8688876248204791,10,426,OFF,6,-0.0,-0.0,-4.751654034669336
2026-07-16,-0.5649610922015198,10,401,OFF,1,0.0,0.0,0.6623043299247708
2026-07-22,-0.5103989592097607,10,374,OFF,32,-0.0,-0.0,-57.66350235308401
2026-07-24,-0.7755789894831764,10,380,OFF,3,-0.0,-0.0,-3.950867285843501
2026-07-28,-0.8088062145476946,10,363,OFF,3,-0.0,-0.0,-4.210229109454993
2026-07-30,-1.5009504666386673,10,152,OFF,50,0.0,0.0,54.590483759058806
2026-07-31,-0.49778311608878684,10,177,OFF,27,-0.0,-0.0,-8.858907566777965
2026-08-03,-0.46548756731748553,10,163,OFF,60,-0.0,-0.0,-26.459952044206535
