date,health,status,transition,raw_today,n_signals,on_streak_age
2026-05-27,,ON,False,-24.029364587335387,20,1
2026-05-28,,ON,False,-1.4335912055288356,35,2
2026-06-01,,ON,False,-36.29935994189014,66,3
2026-06-04,,ON,False,0.19478356367327754,10,4
2026-06-08,-0.4699811616113059,OFF,True,0.20053764820021547,16,0
2026-06-09,-0.41746254777469965,OFF,False,-38.81681314768582,9,0
2026-06-11,-0.6422038953241452,OFF,False,101.96655020360092,29,0
2026-06-12,0.00963644612450947,ON,True,-88.14655112612353,46,1
2026-06-15,-0.3738693012687848,OFF,True,25.19503812812485,58,0
2026-06-18,-0.21165664520748942,OFF,False,-34.18429562678233,27,0
2026-06-22,-0.30175020915109735,OFF,False,-148.34838423538397,31,0
2026-06-24,-0.6717800787149706,OFF,False,-34.9978828984342,28,0
2026-06-29,-0.7913636794771899,OFF,False,46.167302906072536,26,0
2026-06-30,-0.609891837802636,OFF,False,-5.074227408637393,20,0
2026-07-01,-0.6070300881277543,OFF,False,-69.66241406119072,214,0
2026-07-02,-0.5038968796443436,OFF,False,-85.44637562230332,25,0
2026-07-06,-0.5804191264703515,OFF,False,-21.092045641743102,41,0
2026-07-09,-0.8054066581131805,OFF,False,-36.886200651125314,20,0
2026-07-10,-0.743529561451843,OFF,False,3.9221915635087377,13,0
2026-07-14,-0.8665220936539757,OFF,False,-18.728092124287336,8,0
2026-07-15,-0.8688876248204791,OFF,False,-4.751654034669336,6,0
2026-07-16,-0.5649610922015198,OFF,False,0.6623043299247708,1,0
2026-07-22,-0.5103989592097607,OFF,False,-57.66350235308401,32,0
2026-07-24,-0.7755789894831764,OFF,False,-3.950867285843501,3,0
2026-07-28,-0.8088062145476946,OFF,False,-4.210229109454993,3,0
2026-07-30,-1.5009504666386673,OFF,False,54.590483759058806,50,0
2026-07-31,-0.49778311608878684,OFF,False,-8.858907566777965,27,0
2026-08-03,-0.46548756731748553,OFF,False,-26.459952044206535,60,0
