strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Revert,Reversion,LONG,ACLS,ALL,0.617,53.2,222
RSI Revert,Reversion,LONG,ACLS,STRONG,2.838,81.8,66
RSI Revert,Reversion,LONG,ACLS,NORMAL,0.736,61.0,41
RSI Revert,Reversion,LONG,ACLS,CAUTIOUS,-0.29,45.0,20
RSI Revert,Reversion,LONG,ACLS,WEAK,-2.071,16.7,48
RSI Revert,Reversion,LONG,ACLS,CHOPPY,0.467,46.8,47
RSI Revert,Reversion,SHORT,ACLS,ALL,-0.139,49.4,154
RSI Revert,Reversion,SHORT,ACLS,STRONG,-1.815,23.3,43
RSI Revert,Reversion,SHORT,ACLS,NORMAL,-0.207,48.8,41
RSI Revert,Reversion,SHORT,ACLS,CAUTIOUS,0.034,52.6,19
RSI Revert,Reversion,SHORT,ACLS,WEAK,2.02,88.9,18
RSI Revert,Reversion,SHORT,ACLS,CHOPPY,0.62,60.6,33
Zscore Revert,Reversion,LONG,ACLS,ALL,0.5,53.7,175
Zscore Revert,Reversion,LONG,ACLS,STRONG,2.524,80.7,57
Zscore Revert,Reversion,LONG,ACLS,NORMAL,0.04,54.5,22
Zscore Revert,Reversion,LONG,ACLS,CAUTIOUS,0.096,50.0,16
Zscore Revert,Reversion,LONG,ACLS,WEAK,-1.521,22.7,44
Zscore Revert,Reversion,LONG,ACLS,CHOPPY,0.546,50.0,36
Zscore Revert,Reversion,SHORT,ACLS,ALL,-0.472,50.7,146
Zscore Revert,Reversion,SHORT,ACLS,STRONG,-2.529,20.0,40
Zscore Revert,Reversion,SHORT,ACLS,NORMAL,-1.222,40.0,30
Zscore Revert,Reversion,SHORT,ACLS,CAUTIOUS,0.426,68.2,22
Zscore Revert,Reversion,SHORT,ACLS,WEAK,1.937,87.5,24
Zscore Revert,Reversion,SHORT,ACLS,CHOPPY,0.327,60.0,30
Keltner Revert,Reversion,LONG,ACLS,ALL,0.675,54.2,153
Keltner Revert,Reversion,LONG,ACLS,STRONG,2.211,78.4,51
Keltner Revert,Reversion,LONG,ACLS,NORMAL,0.685,60.0,20
Keltner Revert,Reversion,LONG,ACLS,WEAK,-1.379,26.5,34
Keltner Revert,Reversion,LONG,ACLS,CHOPPY,0.424,45.7,35
Keltner Revert,Reversion,SHORT,ACLS,ALL,-0.116,52.9,155
Keltner Revert,Reversion,SHORT,ACLS,STRONG,-2.191,20.5,44
Keltner Revert,Reversion,SHORT,ACLS,NORMAL,-0.808,44.4,27
Keltner Revert,Reversion,SHORT,ACLS,CAUTIOUS,0.612,69.6,23
Keltner Revert,Reversion,SHORT,ACLS,WEAK,1.987,95.0,20
Keltner Revert,Reversion,SHORT,ACLS,CHOPPY,0.955,63.4,41
MFI Revert,Reversion,LONG,ACLS,ALL,0.17,56.9,72
MFI Revert,Reversion,LONG,ACLS,STRONG,1.362,84.2,19
MFI Revert,Reversion,LONG,ACLS,NORMAL,0.764,75.0,16
MFI Revert,Reversion,LONG,ACLS,WEAK,-0.646,31.2,16
MFI Revert,Reversion,SHORT,ACLS,ALL,-0.194,55.6,27
RSI Momentum,Momentum,LONG,ACLS,ALL,0.139,50.6,154
RSI Momentum,Momentum,LONG,ACLS,STRONG,1.815,76.7,43
RSI Momentum,Momentum,LONG,ACLS,NORMAL,0.207,51.2,41
RSI Momentum,Momentum,LONG,ACLS,CAUTIOUS,-0.034,47.4,19
RSI Momentum,Momentum,LONG,ACLS,WEAK,-2.02,11.1,18
RSI Momentum,Momentum,LONG,ACLS,CHOPPY,-0.62,39.4,33
RSI Momentum,Momentum,SHORT,ACLS,ALL,-0.617,46.8,222
RSI Momentum,Momentum,SHORT,ACLS,STRONG,-2.838,18.2,66
RSI Momentum,Momentum,SHORT,ACLS,NORMAL,-0.736,39.0,41
RSI Momentum,Momentum,SHORT,ACLS,CAUTIOUS,0.29,55.0,20
RSI Momentum,Momentum,SHORT,ACLS,WEAK,2.071,83.3,48
RSI Momentum,Momentum,SHORT,ACLS,CHOPPY,-0.467,53.2,47
Donchian/Turtle,Momentum,LONG,ACLS,ALL,0.521,50.9,163
Donchian/Turtle,Momentum,LONG,ACLS,STRONG,2.249,78.7,47
Donchian/Turtle,Momentum,LONG,ACLS,NORMAL,0.858,61.8,34
Donchian/Turtle,Momentum,LONG,ACLS,CAUTIOUS,-0.419,34.8,23
Donchian/Turtle,Momentum,LONG,ACLS,WEAK,-1.693,10.5,19
Donchian/Turtle,Momentum,LONG,ACLS,CHOPPY,-0.671,37.5,40
Donchian/Turtle,Momentum,SHORT,ACLS,ALL,-0.605,48.3,209
Donchian/Turtle,Momentum,SHORT,ACLS,STRONG,-2.833,18.2,66
Donchian/Turtle,Momentum,SHORT,ACLS,NORMAL,-0.352,42.4,33
Donchian/Turtle,Momentum,SHORT,ACLS,CAUTIOUS,0.592,63.2,19
Donchian/Turtle,Momentum,SHORT,ACLS,WEAK,1.807,80.4,51
Donchian/Turtle,Momentum,SHORT,ACLS,CHOPPY,-0.504,55.0,40
ADX Trend,Momentum,LONG,ACLS,ALL,0.442,50.7,282
ADX Trend,Momentum,LONG,ACLS,STRONG,3.01,82.9,76
ADX Trend,Momentum,LONG,ACLS,NORMAL,1.282,64.6,65
ADX Trend,Momentum,LONG,ACLS,CAUTIOUS,-1.233,30.8,39
ADX Trend,Momentum,LONG,ACLS,WEAK,-2.544,13.3,45
ADX Trend,Momentum,LONG,ACLS,CHOPPY,-1.163,35.1,57
ADX Trend,Momentum,SHORT,ACLS,ALL,0.494,51.8,299
ADX Trend,Momentum,SHORT,ACLS,STRONG,-2.932,22.2,81
ADX Trend,Momentum,SHORT,ACLS,NORMAL,-0.461,42.6,47
ADX Trend,Momentum,SHORT,ACLS,CAUTIOUS,0.866,60.6,33
ADX Trend,Momentum,SHORT,ACLS,WEAK,2.692,83.3,66
ADX Trend,Momentum,SHORT,ACLS,CHOPPY,0.59,58.3,72
RSI Revert,Reversion,LONG,AI,ALL,-0.121,50.6,233
