strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Revert,Reversion,LONG,ACLS,ALL,0.75,58.1,129
RSI Revert,Reversion,LONG,ACLS,STRONG,2.187,80.9,47
RSI Revert,Reversion,LONG,ACLS,NORMAL,0.473,66.7,21
RSI Revert,Reversion,LONG,ACLS,WEAK,-1.009,25.0,24
RSI Revert,Reversion,LONG,ACLS,CHOPPY,-0.03,44.8,29
RSI Revert,Reversion,SHORT,ACLS,ALL,-0.681,45.7,92
RSI Revert,Reversion,SHORT,ACLS,STRONG,-1.292,21.7,23
RSI Revert,Reversion,SHORT,ACLS,NORMAL,-0.555,46.4,28
RSI Revert,Reversion,SHORT,ACLS,CHOPPY,0.559,55.0,20
Zscore Revert,Reversion,LONG,ACLS,ALL,0.328,60.0,65
Zscore Revert,Reversion,LONG,ACLS,STRONG,1.672,95.5,22
Zscore Revert,Reversion,SHORT,ACLS,ALL,-0.793,48.4,64
Zscore Revert,Reversion,SHORT,ACLS,STRONG,-1.886,23.8,21
Zscore Revert,Reversion,SHORT,ACLS,CHOPPY,0.151,53.3,15
Keltner Revert,Reversion,LONG,ACLS,ALL,0.549,59.7,67
Keltner Revert,Reversion,LONG,ACLS,STRONG,1.178,81.8,22
Keltner Revert,Reversion,LONG,ACLS,WEAK,-0.558,40.0,15
Keltner Revert,Reversion,SHORT,ACLS,ALL,-0.737,47.5,80
Keltner Revert,Reversion,SHORT,ACLS,STRONG,-1.573,23.1,26
Keltner Revert,Reversion,SHORT,ACLS,CHOPPY,0.661,61.9,21
MFI Revert,Reversion,LONG,ACLS,ALL,-0.228,61.3,31
RSI Momentum,Momentum,LONG,ACLS,ALL,0.681,54.3,92
RSI Momentum,Momentum,LONG,ACLS,STRONG,1.292,78.3,23
RSI Momentum,Momentum,LONG,ACLS,NORMAL,0.555,53.6,28
RSI Momentum,Momentum,LONG,ACLS,CHOPPY,-0.559,45.0,20
RSI Momentum,Momentum,SHORT,ACLS,ALL,-0.75,41.9,129
RSI Momentum,Momentum,SHORT,ACLS,STRONG,-2.187,19.1,47
RSI Momentum,Momentum,SHORT,ACLS,NORMAL,-0.473,33.3,21
RSI Momentum,Momentum,SHORT,ACLS,WEAK,1.009,75.0,24
RSI Momentum,Momentum,SHORT,ACLS,CHOPPY,0.03,55.2,29
Donchian/Turtle,Momentum,LONG,ACLS,ALL,0.505,50.0,60
Donchian/Turtle,Momentum,LONG,ACLS,STRONG,1.474,73.3,15
Donchian/Turtle,Momentum,LONG,ACLS,CHOPPY,0.116,47.1,17
Donchian/Turtle,Momentum,SHORT,ACLS,ALL,-0.418,41.8,79
Donchian/Turtle,Momentum,SHORT,ACLS,STRONG,-1.867,7.7,26
Donchian/Turtle,Momentum,SHORT,ACLS,WEAK,0.82,68.8,16
Donchian/Turtle,Momentum,SHORT,ACLS,CHOPPY,0.184,61.1,18
ADX Trend,Momentum,LONG,ACLS,ALL,0.079,47.8,301
ADX Trend,Momentum,LONG,ACLS,STRONG,2.945,76.8,82
ADX Trend,Momentum,LONG,ACLS,NORMAL,0.804,62.7,67
ADX Trend,Momentum,LONG,ACLS,CAUTIOUS,-1.228,32.5,40
ADX Trend,Momentum,LONG,ACLS,WEAK,-2.919,10.4,48
ADX Trend,Momentum,LONG,ACLS,CHOPPY,-1.114,32.8,64
