strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Revert,Reversion,LONG,ACLS,ALL,0.311,50.0,140
RSI Revert,Reversion,LONG,ACLS,STRONG,2.791,81.1,37
RSI Revert,Reversion,LONG,ACLS,NORMAL,0.339,53.8,26
RSI Revert,Reversion,LONG,ACLS,WEAK,-1.907,16.7,36
RSI Revert,Reversion,LONG,ACLS,CHOPPY,0.99,55.2,29
RSI Revert,Reversion,SHORT,ACLS,ALL,-0.691,50.0,92
RSI Revert,Reversion,SHORT,ACLS,STRONG,-1.782,28.0,25
RSI Revert,Reversion,SHORT,ACLS,NORMAL,-0.182,52.4,21
RSI Revert,Reversion,SHORT,ACLS,CHOPPY,0.626,56.0,25
Zscore Revert,Reversion,LONG,ACLS,ALL,0.651,53.0,115
Zscore Revert,Reversion,LONG,ACLS,STRONG,2.54,76.5,34
Zscore Revert,Reversion,LONG,ACLS,NORMAL,0.087,58.8,17
Zscore Revert,Reversion,LONG,ACLS,WEAK,-1.04,25.8,31
Zscore Revert,Reversion,LONG,ACLS,CHOPPY,0.428,54.2,24
Zscore Revert,Reversion,SHORT,ACLS,ALL,-1.175,49.5,99
Zscore Revert,Reversion,SHORT,ACLS,STRONG,-2.824,17.2,29
Zscore Revert,Reversion,SHORT,ACLS,CAUTIOUS,0.183,68.8,16
Zscore Revert,Reversion,SHORT,ACLS,WEAK,1.785,87.5,16
Zscore Revert,Reversion,SHORT,ACLS,CHOPPY,0.149,58.3,24
Keltner Revert,Reversion,LONG,ACLS,ALL,0.39,51.6,91
Keltner Revert,Reversion,LONG,ACLS,STRONG,1.951,69.2,26
Keltner Revert,Reversion,LONG,ACLS,WEAK,-1.164,29.2,24
Keltner Revert,Reversion,LONG,ACLS,CHOPPY,0.651,52.2,23
Keltner Revert,Reversion,SHORT,ACLS,ALL,-0.485,50.8,118
Keltner Revert,Reversion,SHORT,ACLS,STRONG,-2.451,16.1,31
Keltner Revert,Reversion,SHORT,ACLS,NORMAL,-0.62,50.0,20
Keltner Revert,Reversion,SHORT,ACLS,CAUTIOUS,0.355,66.7,18
Keltner Revert,Reversion,SHORT,ACLS,CHOPPY,0.94,57.1,35
MFI Revert,Reversion,LONG,ACLS,ALL,-0.634,45.5,33
MFI Revert,Reversion,SHORT,ACLS,ALL,-0.445,50.0,22
RSI Momentum,Momentum,LONG,ACLS,ALL,0.691,50.0,92
RSI Momentum,Momentum,LONG,ACLS,STRONG,1.782,72.0,25
RSI Momentum,Momentum,LONG,ACLS,NORMAL,0.182,47.6,21
RSI Momentum,Momentum,LONG,ACLS,CHOPPY,-0.626,44.0,25
RSI Momentum,Momentum,SHORT,ACLS,ALL,-0.311,50.0,140
RSI Momentum,Momentum,SHORT,ACLS,STRONG,-2.791,18.9,37
RSI Momentum,Momentum,SHORT,ACLS,NORMAL,-0.339,46.2,26
RSI Momentum,Momentum,SHORT,ACLS,WEAK,1.907,83.3,36
RSI Momentum,Momentum,SHORT,ACLS,CHOPPY,-0.99,44.8,29
Donchian/Turtle,Momentum,LONG,ACLS,ALL,0.893,51.2,121
Donchian/Turtle,Momentum,LONG,ACLS,STRONG,2.524,80.0,35
Donchian/Turtle,Momentum,LONG,ACLS,NORMAL,1.051,63.2,19
Donchian/Turtle,Momentum,LONG,ACLS,CAUTIOUS,-0.103,35.3,17
Donchian/Turtle,Momentum,LONG,ACLS,CHOPPY,-0.802,38.9,36
Donchian/Turtle,Momentum,SHORT,ACLS,ALL,-0.953,47.4,135
Donchian/Turtle,Momentum,SHORT,ACLS,STRONG,-2.786,22.0,41
Donchian/Turtle,Momentum,SHORT,ACLS,NORMAL,-0.414,40.7,27
Donchian/Turtle,Momentum,SHORT,ACLS,WEAK,1.066,75.0,32
Donchian/Turtle,Momentum,SHORT,ACLS,CHOPPY,-0.192,52.0,25
ADX Trend,Momentum,LONG,ACLS,ALL,0.38,48.9,176
