date,ib_range_pts,day_ret_pct,day_range_pct,vol_vol,continuation,post_move_pts,live_regime,hmm_state,hmm_regime
2024-08-05,603.25,3.026334519572954,4.4412811387900355,0.6029592565641076,1,235.5,TRENDING,1,HMM_CHOPPY
2024-08-06,268.5,0.31254753903386856,2.8862243980693965,0.5534716124364206,-1,28.25,TRENDING,1,HMM_CHOPPY
2024-08-07,153.25,-2.659387108136668,3.2920584171024467,0.4564008572519856,1,471.0,CHOPPY,1,HMM_CHOPPY
2024-08-08,325.25,1.7612927120341286,2.78597001412875,0.6113301545058204,1,165.0,TRENDING,1,HMM_CHOPPY
2024-08-09,161.5,0.9091648149151808,1.4660452008021245,0.5591153062078906,1,123.0,CHOPPY,0,HMM_QUIET
2024-08-12,203.75,-0.11667672500502917,1.295513981090324,0.6142019623554534,-1,78.0,TRENDING,0,HMM_QUIET
2024-08-13,106.25,1.5155338903130688,1.577961666688804,0.6025434291807504,1,202.0,CHOPPY,0,HMM_QUIET
2024-08-14,209.25,-0.10320321889533365,1.4539896535507133,0.609308821716876,-1,109.25,TRENDING,0,HMM_QUIET
2024-08-15,153.75,1.1019390510147398,1.3809763722564559,0.6666218651991687,1,90.25,CHOPPY,0,HMM_QUIET
2024-08-16,129.0,0.5345262968992347,1.0254701139553664,0.6920602513986465,1,40.0,CHOPPY,0,HMM_QUIET
2024-08-19,96.25,1.1884874839005852,1.7202463688646883,0.7003342507718449,1,226.25,QUIET,0,HMM_QUIET
2024-08-20,121.75,0.027752898285627783,0.9171071388023363,0.6398147807249823,-1,2.0,CHOPPY,0,HMM_QUIET
2024-08-21,101.75,0.34648724926922686,1.0621409132143937,0.6512384871139631,1,35.5,CHOPPY,0,HMM_QUIET
2024-08-22,144.5,-1.9389438943894388,2.418991899189919,0.402481310666972,1,306.0,CHOPPY,1,HMM_CHOPPY
2024-08-23,196.75,0.1543854320893917,1.5754906799286281,0.7380163051099139,-1,96.25,CHOPPY,0,HMM_QUIET
2024-08-26,193.25,-0.9411407536715874,1.4926694749092382,0.5638442420277995,1,39.75,CHOPPY,0,HMM_QUIET
2024-08-27,192.5,0.7004379337721207,1.294593694778088,0.7324803311656489,1,29.5,CHOPPY,0,HMM_QUIET
2024-08-28,143.5,-1.1171689893251129,1.931160989528929,0.5381419427952712,1,174.5,CHOPPY,0,HMM_QUIET
2024-08-29,207.25,-0.4872419540966791,1.820746249519169,0.6248873223828616,-1,196.25,TRENDING,0,HMM_QUIET
2024-08-30,115.0,0.2569116913992101,1.344632335084423,0.5493021369937331,-1,61.75,CHOPPY,0,HMM_QUIET
2024-09-02,57.5,0.14272061165976427,0.4179675055750238,0.5499671362439404,-1,39.75,QUIET,0,HMM_QUIET
2024-09-03,200.25,-2.2872251671779336,2.9379676810719926,0.6188535534144612,1,284.75,TRENDING,1,HMM_CHOPPY
2024-09-04,165.5,0.4529081470494756,1.477910795635131,0.631408587008124,-1,29.0,CHOPPY,0,HMM_QUIET
2024-09-05,265.5,0.6393455642919545,1.6321181796521325,0.6304176040278116,-1,98.75,TRENDING,0,HMM_QUIET
2024-09-06,327.25,-2.5396531914050633,2.844728535770414,0.6714455528274179,1,192.5,TRENDING,1,HMM_CHOPPY
2024-09-09,115.5,0.2845064752063343,1.2494128698919682,0.5059302647412665,-1,60.25,CHOPPY,0,HMM_QUIET
2024-09-10,135.0,0.48511341525175256,1.5299730788709118,0.6214098219574438,1,68.25,CHOPPY,0,HMM_QUIET
2024-09-11,263.0,1.7537130840750685,3.9451931597254366,0.4920448701496782,-1,578.75,TRENDING,1,HMM_CHOPPY
2024-09-12,164.75,0.9813338871725643,1.5472883512033024,0.5988353355746043,1,112.0,CHOPPY,0,HMM_QUIET
2024-09-13,133.25,0.5190823962801241,0.9325450493965506,0.5861292142141262,1,48.0,CHOPPY,0,HMM_QUIET
2024-09-16,137.25,-0.025727112517526594,0.8489947130783777,0.6535781302479439,-1,41.5,CHOPPY,0,HMM_QUIET
2024-09-17,118.5,-0.5700044731292734,1.4020065179883698,0.591682785387019,-1,113.75,CHOPPY,0,HMM_QUIET
2024-09-18,87.0,-0.5886426592797784,1.7107828049656306,0.5973673284840229,1,83.5,QUIET,0,HMM_QUIET
2024-09-19,173.0,0.10723792942482621,1.2124194138500939,0.6274275834730868,-1,53.75,CHOPPY,0,HMM_QUIET
2024-09-23,88.5,0.0049809478743804945,0.5391876074016886,0.6148269649175164,-1,23.25,QUIET,0,HMM_QUIET
2024-09-24,190.25,0.1750661153946437,1.3049254417005003,0.6944265234202309,-1,183.0,CHOPPY,0,HMM_QUIET
2024-09-25,134.5,0.40713478892295474,0.6814542656057991,0.5759368254354975,-1,4.25,CHOPPY,0,HMM_QUIET
2024-09-26,179.75,-0.7888993208393791,1.6095009327789498,0.655708217939675,1,4.25,CHOPPY,0,HMM_QUIET
2024-09-27,98.0,-0.8330470628649947,1.0305736860185504,0.5111965588871678,1,106.0,QUIET,0,HMM_QUIET
2024-09-30,136.5,0.33698399326032014,1.1360820655136528,0.5180734177671528,1,62.25,CHOPPY,0,HMM_QUIET
2024-10-01,384.25,-1.202350385147146,2.213361643294489,0.5703093922588259,-1,102.5,TRENDING,1,HMM_CHOPPY
2024-10-02,180.0,0.4174344703095032,1.2836423351259199,0.6587834421922657,1,22.0,CHOPPY,0,HMM_QUIET
2024-10-03,220.5,0.439427990307474,1.1852000652864443,0.7359084667937112,1,37.75,TRENDING,0,HMM_QUIET
2024-10-04,226.75,-0.02224694104560623,1.1481893461871215,0.6151418232087749,-1,184.0,TRENDING,0,HMM_QUIET
2024-10-07,94.75,-0.6257138600585986,1.1905944281670557,0.5908879441712289,-1,168.25,QUIET,0,HMM_QUIET
2024-10-08,133.25,0.8630445326004501,1.293323218882519,0.6736337072632225,1,92.0,CHOPPY,0,HMM_QUIET
2024-10-09,116.75,0.766661325510594,1.2029926908333437,0.5816317372993096,1,94.5,CHOPPY,0,HMM_QUIET
2024-10-10,115.25,0.34013187784722304,1.0154839818760053,0.5923027797597707,1,25.75,CHOPPY,0,HMM_QUIET
2024-10-11,167.75,0.46336127430495805,0.891079373663381,0.6685450837706312,-1,21.5,CHOPPY,0,HMM_QUIET
2024-10-14,139.25,0.25911147876015767,0.7542212057807406,0.6884617744527484,-1,37.5,CHOPPY,0,HMM_QUIET
2024-10-15,149.25,-1.4334702582185226,1.9642056539072064,0.752125221735359,1,179.75,CHOPPY,0,HMM_QUIET
2024-10-16,152.25,-0.057730337906722516,0.8561286281060765,0.749497356437531,-1,9.75,CHOPPY,0,HMM_QUIET
2024-10-17,210.75,-0.9271861177271181,1.0802994215719632,0.7179805384209327,1,61.5,TRENDING,0,HMM_QUIET
2024-10-18,90.25,0.13192612137203166,0.4837291116974494,0.7056415792373842,-1,6.25,QUIET,0,HMM_QUIET
2024-10-21,131.25,0.4797395699477427,1.0243418878731136,0.713373669706209,1,17.75,CHOPPY,0,HMM_QUIET
2024-10-22,150.75,0.6285917339574322,1.1432282412910024,0.6697387683675227,1,43.75,CHOPPY,0,HMM_QUIET
2024-10-23,116.75,-0.8918631253134978,1.877928528609354,0.44735426762073177,1,166.0,CHOPPY,0,HMM_QUIET
2024-10-24,83.5,0.09449012148729906,0.7276966498956927,0.5918111933207967,-1,76.25,QUIET,0,HMM_QUIET
2024-10-25,217.5,-0.026841052169245032,1.2078473476160265,0.511575521094548,-1,208.5,TRENDING,0,HMM_QUIET
2024-10-28,99.0,-0.5515084665640417,0.6836280772354274,0.5857202298607365,1,88.0,QUIET,0,HMM_QUIET
2024-10-29,171.0,0.9958071278825996,1.6003607820194041,0.6449358651147366,1,171.75,CHOPPY,0,HMM_QUIET
2024-10-30,156.5,-0.43800742918678237,1.1059082604329256,0.6597468414234063,-1,118.25,CHOPPY,0,HMM_QUIET
2024-10-31,250.0,-1.4595583270932817,1.7738114235910782,0.6251894777567994,1,72.0,TRENDING,0,HMM_QUIET
2024-11-01,213.25,0.4185664100455938,1.1460746941724593,0.4963760514520779,-1,118.0,TRENDING,0,HMM_QUIET
2024-11-04,191.0,-0.1975621575278637,1.061120015904375,0.6108169348290917,-1,102.75,CHOPPY,0,HMM_QUIET
2024-11-05,177.5,0.9887233435472466,1.1214628639481945,0.6431454698952278,1,85.0,CHOPPY,0,HMM_QUIET
2024-11-06,163.25,1.078088930250547,1.4128766361691585,0.8378070461240924,1,112.5,CHOPPY,0,HMM_QUIET
2024-11-07,125.75,1.0187444213031835,1.1889318655162155,0.6053173186267989,1,108.75,CHOPPY,0,HMM_QUIET
2024-11-08,70.5,0.2171219540975869,0.49560446044014395,0.7083013636787263,1,40.25,QUIET,0,HMM_QUIET
2024-11-11,137.25,-0.291315736923095,0.9127109983437292,0.6571700834006896,-1,32.0,CHOPPY,0,HMM_QUIET
2024-11-12,73.25,-0.09073982417686016,0.9309670272690849,0.5620770255607094,-1,21.25,QUIET,0,HMM_QUIET
2024-11-13,127.25,0.004726177113487328,0.9984049152241979,0.523064246478449,-1,59.75,CHOPPY,0,HMM_QUIET
2024-11-14,134.25,-0.6753400354819633,0.9627439384979302,0.5453303070298161,1,104.25,CHOPPY,0,HMM_QUIET
2024-11-15,191.5,-1.1970999831394369,1.7763807596888022,0.5353361313778079,1,79.25,CHOPPY,0,HMM_QUIET
